datetime,action,symbol,qty,price,amount_usd,reason
2026-09-17 22:40:34,BUY,AMD,0.9988,537.4386,536.79,唯一接近20日新高(-1.0%)且5日动量+6.15%的候选；Citi会议CFO上调2030 AI TAM至$2-3万亿，催化剂当日驱动+5%；加息利空出尽，半导体领涨，regime=risk-on。止损$504.9(-6%)、止盈$585.8(+9%)。
2026-09-17 22:40:34,BUY,FNGU,8.1274,33.0265,268.42,3x FANG+杠杆ETN，作为risk-on反弹的贝塔放大器；5日动量+4.77%、RSI 56.4，重仓股(MSFT/PLTR/META/NVDA)集体走强；当日+5.16%量能配合。止损$31.0(-6%)、止盈$36.0(+9%)。
2026-09-17 16:26:18,BUY,SMCI,6.6542,40.6003,270.16,云端动量入场（B级）：距20日新高 -2.3%、5日动量 +4.2%、RSI 59、量比 0.8；止损 -6% / 止盈 +9% / 时间止损 5 日
2026-09-18 17:23:18,BUY,MSTR,1.7804,150.1851,267.39,云端动量入场（B级）：距20日新高 +3.6%、5日动量 +16.8%、RSI 65、量比 0.6；止损 -6% / 止盈 +9% / 时间止损 5 日
2026-09-21 19:06:11,SELL,AMD,0.9988,611.684,610.95,止盈 +13.9%（现价 $611.99 vs 成本 $537.44）
2026-09-21 19:06:11,SELL,MSTR,1.7804,166.6666,296.73,止盈 +11.0%（现价 $166.75 vs 成本 $150.19）
2026-09-21 19:06:11,BUY,MSTR,3.4515,166.8334,575.83,云端动量入场（A级）：距20日新高 +8.3%、5日动量 +27.3%、RSI 70、量比 2.0；止损 -6% / 止盈 +9% / 时间止损 5 日
2026-09-21 19:06:11,BUY,AMD,0.9404,612.296,575.8,云端动量入场（A级）：距20日新高 +9.3%、5日动量 +18.6%、RSI 73、量比 1.7；止损 -6% / 止盈 +9% / 时间止损 5 日
2026-09-22 17:58:43,SELL,FNGU,8.1274,36.1219,293.58,止盈 +9.4%（现价 $36.14 vs 成本 $33.03）
2026-09-22 17:58:43,BUY,SOXL,1.9516,148.9044,290.6,云端动量入场（B级）：距20日新高 +3.4%、5日动量 +47.2%、RSI 62、量比 1.1；止损 -6% / 止盈 +9% / 时间止损 5 日
2026-09-24 18:15:30,SELL,SMCI,6.6542,41.4493,275.81,时间止损：持有 5 个交易日满期退出（浮动盈亏 +2.1%）
2026-09-24 18:15:30,BUY,FNGU,8.0446,35.4777,285.4,云端动量入场（B级）：距20日新高 -2.9%、5日动量 +13.0%、RSI 62、量比 0.9；止损 -6% / 止盈 +9% / 时间止损 5 日
2026-09-25 18:15:10,SELL,MSTR,3.4515,159.0404,548.93,移动止盈：自持仓以来高点 $169.76 回撤超 5.0%（现价 $159.12）
2026-09-25 18:15:10,BUY,TQQQ,3.6118,79.95,288.76,云端动量入场（B级）：距20日新高 -1.5%、5日动量 +12.0%、RSI 64、量比 1.2；止损 -6% / 止盈 +9% / 时间止损 5 日
